meal_name,point_value,meal_type,dining_hall
Duck 'n' Out Burger,4,Meal,Ducks's House
BBQ Burger,4,Meal,Ducks's House
Salmon Sandwich,4,Meal,Ducks's House
Beyond® Burger,4,Meal,Ducks's House
Chicken Club Sandwich,4,Meal,Ducks's House
Caesar Salad,4,Salads,Ducks's House
Skillet Potatoes and Eggs,4,Meal,Ducks's House
Eggs Your Way,4,Meal,Ducks's House
Breakfast Sandwich,4,Meal,Ducks's House
Oregon Waffle,4,Meal,Ducks's House
Brioche Breakfast Sandwic,4,Meal,Ducks's House
Scrambled Egg Breakfast Burrito,4,Entrées,Bullseye Taco
Pepper Bacon Breakfast Burrito,4,Entrées,Bullseye Taco
Vegan Chorizo Breakfast Burrito,4,Entrées,Bullseye Taco
Carnitas Tacos/Burrito,4,Entrées,Bullseye Taco
Chorizo con Papas Tacos/Burrito,4,Entrées,Bullseye Taco
Pollo Asado Tacos/Burrito,4,Entrées,Bullseye Taco
Guacamole Tacos/Burrito,4,Entrées,Bullseye Taco
Pinto beans (vegan),2,Sides,Bullseye Taco
Black beans (vegan),2,Sides,Bullseye Taco
Queso dip with tortilla chips,4,Sides,Bullseye Taco
Guacamole,2,Sides,Bullseye Taco
Spanish rice,2,Sides,Bullseye Taco
Fresh guacamole with chips,4,Sides,Bullseye Taco
Chips and salsa,2,Sides,Bullseye Taco
Lasagna Bolognese,4,Entrées,Drake's Deli
Rotisserie chicken,4,Entrées,Drake's Deli
Lemon-dill steelhead,4,Entrées,Drake's Deli
Fried chicken,4,Entrées,Drake's Deli
Pot pie,4,Entrées,Drake's Deli
Smoked turkey,4,Entrées,Drake's Deli
Fruit salad,2,Sides,Drake's Deli
Waffle fries,2,Sides,Drake's Deli
Chocolate chip cookie,2,Sides,Drake's Deli
Salad of the day,2,Sides,Drake's Deli
Kettle chips,2,Sides,Drake's Deli
Herb roasted potatoes,2,Sides,Drake's Deli
JoJo’s,2,Sides,Drake's Deli
Mac and cheese,2,Sides,Drake's Deli
Seasonal veggies,2,Sides,Drake's Deli
Chicken and biscuit,4,Entrées,Drake's Deli
Deli breakfast sandwich,4,Entrées,Drake's Deli
Biscuits and gravy,4,Entrées,Drake's Deli
Hash browns and fried chicken with sausage gravy,4,Entrées,Drake's Deli
Roman-Style Pizza,4,Pizza,Hearth & Soul
Roman Salad,3,Salads,Hearth & Soul
Caesar,3,Salads,Hearth & Soul
Tomato Bisque,3,Soup,Hearth & Soul
Seasonal soup of the day,3,Soup,Hearth & Soul
Caffè Latte,3,Coffee and Tea,PNW Café
Caffè Mocha,3,Coffee and Tea,PNW Café
White Chocolate Mocha,3,Coffee and Tea,PNW Café
Freshly Brewed Coffee,3,Coffee and Tea,PNW Café
